direction,candidate_exponent,r2,selected
100,0.0,0.000000000,0
100,0.5,0.758135073,0
100,1.0,0.999632153,1
100,1.5,0.724491243,0
100,2.0,-0.067287660,0
100,3.0,-3.200759440,0
010,0.0,0.000000000,0
010,0.5,0.758135073,0
010,1.0,0.999632153,1
010,1.5,0.724491243,0
010,2.0,-0.067287660,0
010,3.0,-3.200759440,0
001,0.0,0.000000000,0
001,0.5,0.758135073,0
001,1.0,0.999632153,1
001,1.5,0.724491243,0
001,2.0,-0.067287660,0
001,3.0,-3.200759440,0
110,0.0,0.000000000,0
110,0.5,0.754616850,0
110,1.0,0.999889601,1
110,1.5,0.735818254,0
110,2.0,-0.037597193,0
110,3.0,-3.112460382,0
111,0.0,0.000000000,0
111,0.5,0.753652603,0
111,1.0,0.999932903,1
111,1.5,0.738840899,0
111,2.0,-0.029623410,0
111,3.0,-3.088668938,0
