direction,m,k,lambda,omega,phase_speed,symbol_lambda
100,1,0.098174770,0.009630547,0.098135349,0.999598453,0.009630547
100,2,0.196349541,0.038429439,0.196034281,0.998394393,0.038429439
100,3,0.294524311,0.086119329,0.293460949,0.996389560,0.086119329
100,4,0.392699082,0.152240935,0.390180644,0.993586851,0.152240935
100,5,0.490873852,0.236157471,0.485960360,0.989990316,0.236157471
100,6,0.589048623,0.337060775,0.580569355,0.985605147,0.337060775
100,7,0.687223393,0.453979093,0.673779707,0.980437677,0.453979093
100,8,0.785398163,0.585786438,0.765366865,0.974495358,0.585786438
100,9,0.883572934,0.731213432,0.855110187,0.967786760,0.731213432
100,10,0.981747704,0.888859534,0.942793474,0.960321547,0.888859534
100,11,1.079922475,1.057206526,1.028205488,0.952110464,1.057206526
100,12,1.178097245,1.234633135,1.111140466,0.943165321,1.234633135
100,13,1.276272016,1.419430645,1.191398609,0.933498968,1.419430645
100,14,1.374446786,1.609819356,1.268786568,0.923125276,1.609819356
100,15,1.472621556,1.803965719,1.343117910,0.912059112,1.803965719
100,16,1.570796327,2.000000000,1.414213562,0.900316316,2.000000000
100,17,1.668971097,2.196034281,1.481902251,0.887913669,2.196034281
100,18,1.767145868,2.390180644,1.546020907,0.874868869,2.390180644
100,19,1.865320638,2.580569355,1.606415063,0.861200498,2.580569355
100,20,1.963495408,2.765366865,1.662939225,0.846927993,2.765366865
100,21,2.061670179,2.942793474,1.715457220,0.832071608,2.942793474
010,1,0.098174770,0.009630547,0.098135349,0.999598453,0.009630547
010,2,0.196349541,0.038429439,0.196034281,0.998394393,0.038429439
010,3,0.294524311,0.086119329,0.293460949,0.996389560,0.086119329
010,4,0.392699082,0.152240935,0.390180644,0.993586851,0.152240935
010,5,0.490873852,0.236157471,0.485960360,0.989990316,0.236157471
010,6,0.589048623,0.337060775,0.580569355,0.985605147,0.337060775
010,7,0.687223393,0.453979093,0.673779707,0.980437677,0.453979093
010,8,0.785398163,0.585786438,0.765366865,0.974495358,0.585786438
010,9,0.883572934,0.731213432,0.855110187,0.967786760,0.731213432
010,10,0.981747704,0.888859534,0.942793474,0.960321547,0.888859534
010,11,1.079922475,1.057206526,1.028205488,0.952110464,1.057206526
010,12,1.178097245,1.234633135,1.111140466,0.943165321,1.234633135
010,13,1.276272016,1.419430645,1.191398609,0.933498968,1.419430645
010,14,1.374446786,1.609819356,1.268786568,0.923125276,1.609819356
010,15,1.472621556,1.803965719,1.343117910,0.912059112,1.803965719
010,16,1.570796327,2.000000000,1.414213562,0.900316316,2.000000000
010,17,1.668971097,2.196034281,1.481902251,0.887913669,2.196034281
010,18,1.767145868,2.390180644,1.546020907,0.874868869,2.390180644
010,19,1.865320638,2.580569355,1.606415063,0.861200498,2.580569355
010,20,1.963495408,2.765366865,1.662939225,0.846927993,2.765366865
010,21,2.061670179,2.942793474,1.715457220,0.832071608,2.942793474
001,1,0.098174770,0.009630547,0.098135349,0.999598453,0.009630547
001,2,0.196349541,0.038429439,0.196034281,0.998394393,0.038429439
001,3,0.294524311,0.086119329,0.293460949,0.996389560,0.086119329
001,4,0.392699082,0.152240935,0.390180644,0.993586851,0.152240935
001,5,0.490873852,0.236157471,0.485960360,0.989990316,0.236157471
001,6,0.589048623,0.337060775,0.580569355,0.985605147,0.337060775
001,7,0.687223393,0.453979093,0.673779707,0.980437677,0.453979093
001,8,0.785398163,0.585786438,0.765366865,0.974495358,0.585786438
001,9,0.883572934,0.731213432,0.855110187,0.967786760,0.731213432
001,10,0.981747704,0.888859534,0.942793474,0.960321547,0.888859534
001,11,1.079922475,1.057206526,1.028205488,0.952110464,1.057206526
001,12,1.178097245,1.234633135,1.111140466,0.943165321,1.234633135
001,13,1.276272016,1.419430645,1.191398609,0.933498968,1.419430645
001,14,1.374446786,1.609819356,1.268786568,0.923125276,1.609819356
001,15,1.472621556,1.803965719,1.343117910,0.912059112,1.803965719
001,16,1.570796327,2.000000000,1.414213562,0.900316316,2.000000000
001,17,1.668971097,2.196034281,1.481902251,0.887913669,2.196034281
001,18,1.767145868,2.390180644,1.546020907,0.874868869,2.390180644
001,19,1.865320638,2.580569355,1.606415063,0.861200498,2.580569355
001,20,1.963495408,2.765366865,1.662939225,0.846927993,2.765366865
001,21,2.061670179,2.942793474,1.715457220,0.832071608,2.942793474
110,1,0.138840092,0.019261093,0.138784341,0.999598453,0.019261093
110,2,0.277680184,0.076858878,0.277234338,0.998394393,0.076858878
110,3,0.416520275,0.172238657,0.415016454,0.996389560,0.172238657
110,4,0.555360367,0.304481870,0.551798759,0.993586851,0.304481870
110,5,0.694200459,0.472314943,0.687251732,0.989990316,0.472314943
110,6,0.833040551,0.674121551,0.821049055,0.985605147,0.674121551
110,7,0.971880643,0.907958187,0.952868399,0.980437677,0.907958187
110,8,1.110720735,1.171572875,1.082392200,0.974495358,1.171572875
110,9,1.249560826,1.462426863,1.209308424,0.967786760,1.462426863
110,10,1.388400918,1.777719068,1.333311317,0.960321547,1.777719068
110,11,1.527241010,2.114413053,1.454102147,0.952110464,2.114413053
110,12,1.666081102,2.469266271,1.571389917,0.943165321,2.469266271
110,13,1.804921194,2.838861291,1.684892071,0.933498968,2.838861291
110,14,1.943761285,3.219638712,1.794335173,0.923125276,3.219638712
110,15,2.082601377,3.607931439,1.899455564,0.912059112,3.607931439
111,1,0.170043690,0.028891640,0.169975410,0.999598453,0.028891640
111,2,0.340087381,0.115288318,0.339541334,0.998394393,0.115288318
111,3,0.510131071,0.258357986,0.508289274,0.996389560,0.258357986
