r,ortho_rho,standing_rho
0.000,3.000000,1.000000
0.200,3.000000,1.000000
0.400,3.000000,1.000000
0.600,3.000000,1.000000
0.800,3.000000,1.000000
1.000,3.000000,1.000000
1.200,3.000000,1.000000
1.400,3.000000,1.000000
1.600,3.000000,1.000000
1.800,3.000000,1.000000
2.000,3.000000,1.000000
2.200,3.000000,1.000000
2.400,3.000000,1.000000
2.600,3.000000,1.000000
2.800,3.000000,1.000000
3.000,3.000000,1.000000
3.200,3.000000,1.000000
3.400,3.000000,1.000000
3.600,3.000000,1.000000
3.800,3.000000,1.000000
4.000,3.000000,1.000000
4.200,3.000000,1.000000
4.400,3.000000,1.000000
4.600,3.000000,1.000000
4.800,3.000000,1.000000
5.000,3.000000,1.000000
5.200,3.000000,1.000000
5.400,3.000000,1.000000
5.600,3.000000,1.000000
5.800,3.000000,1.000000
6.000,3.000000,1.000000
6.200,3.000000,1.000000
6.400,3.000000,1.000000
6.600,3.000000,1.000000
6.800,3.000000,1.000000
7.000,3.000000,1.000000
7.200,3.000000,1.000000
7.400,3.000000,1.000000
7.600,3.000000,1.000000
7.800,3.000000,1.000000
8.000,3.000000,1.000000
