y,intensity_a,intensity_b,intensity_c,intensity_d
0,1.251681e-7,2.784977e-10,1.223245e-8,1.799292e-10
1,1.729111e-7,5.500906e-10,3.663888e-8,3.545439e-10
2,5.224620e-7,3.031407e-9,1.115872e-7,2.427620e-9
3,1.726673e-6,2.039788e-8,5.469912e-7,1.610318e-8
4,5.480611e-6,1.373459e-7,1.891004e-6,1.343304e-7
5,1.791045e-5,8.981890e-7,8.404372e-6,8.352024e-7
6,6.029330e-5,5.492297e-6,2.685913e-5,5.810162e-6
7,1.983664e-4,3.017104e-5,9.729483e-5,2.971380e-5
8,6.051907e-4,1.442081e-4,2.732607e-4,1.523513e-4
9,1.654801e-3,5.853797e-4,7.535518e-4,5.929107e-4
10,3.969657e-3,1.973392e-3,1.781499e-3,2.050138e-3
11,8.187452e-3,5.384204e-3,3.503549e-3,5.610421e-3
12,1.417979e-2,1.151311e-2,6.608065e-3,1.172179e-2
13,2.026985e-2,1.857739e-2,8.646046e-3,1.994202e-2
14,2.592121e-2,2.554853e-2,1.227605e-2,2.638400e-2
15,3.053947e-2,3.151404e-2,1.357826e-2,3.419467e-2
16,3.367865e-2,3.579150e-2,1.718175e-2,3.737001e-2
17,3.509766e-2,3.796094e-2,1.817533e-2,4.160721e-2
18,3.478392e-2,3.784752e-2,2.248681e-2,3.990650e-2
19,3.299899e-2,3.550895e-2,2.448583e-2,3.924809e-2
20,3.021901e-2,3.126058e-2,3.106709e-2,3.321952e-2
21,2.700438e-2,2.570661e-2,3.518316e-2,2.858895e-2
22,2.393416e-2,1.972101e-2,4.538788e-2,2.107300e-2
23,2.156314e-2,1.433448e-2,5.170901e-2,1.599609e-2
24,2.032552e-2,1.052410e-2,6.587564e-2,1.120888e-2
25,2.048096e-2,8.965745e-3,7.332935e-2,9.906272e-3
26,2.214226e-2,9.843136e-3,9.048530e-2,1.026808e-2
27,2.527702e-2,1.278864e-2,9.708937e-2,1.388650e-2
