L,T,U
8,2.2500,0.61832
8,2.2550,0.61736
8,2.2600,0.61572
8,2.2650,0.61569
8,2.2700,0.61424
8,2.2750,0.61100
8,2.2800,0.61034
8,2.2850,0.60875
8,2.2900,0.60756
16,2.2500,0.62090
16,2.2550,0.61956
16,2.2600,0.61732
16,2.2650,0.61384
16,2.2700,0.61076
16,2.2750,0.60876
16,2.2800,0.60514
16,2.2850,0.60244
16,2.2900,0.59786
24,2.2500,0.62427
24,2.2550,0.62192
24,2.2600,0.61837
24,2.2650,0.61423
24,2.2700,0.61112
24,2.2750,0.60486
24,2.2800,0.60119
24,2.2850,0.59662
24,2.2900,0.59269
32,2.2500,0.62816
32,2.2550,0.62526
32,2.2600,0.61889
32,2.2650,0.61544
32,2.2700,0.61013
32,2.2750,0.60437
32,2.2800,0.59907
32,2.2850,0.59182
32,2.2900,0.58580
