L,T,U
12,4.4900,0.51551
12,4.4950,0.50245
12,4.5000,0.50635
12,4.5050,0.48970
12,4.5100,0.48826
12,4.5150,0.46723
12,4.5200,0.45611
12,4.5250,0.45690
12,4.5300,0.42251
16,4.4900,0.53000
16,4.4950,0.52086
16,4.5000,0.50314
16,4.5050,0.49381
16,4.5100,0.47759
16,4.5150,0.46526
16,4.5200,0.45707
16,4.5250,0.41414
16,4.5300,0.42021
24,4.4900,0.56771
24,4.4950,0.54818
24,4.5000,0.52855
24,4.5050,0.51090
24,4.5100,0.48256
24,4.5150,0.45232
24,4.5200,0.41264
24,4.5250,0.40339
24,4.5300,0.38314
32,4.4900,0.60302
32,4.4950,0.57897
32,4.5000,0.55515
32,4.5050,0.52650
32,4.5100,0.49104
32,4.5150,0.43117
32,4.5200,0.39581
32,4.5250,0.34984
32,4.5300,0.30618
