L,T,U,chi,abs_m
8,11.300,0.38491,30.7096,0.283852
8,11.350,0.37630,29.1801,0.276110
8,11.400,0.35765,27.6954,0.267630
8,11.450,0.35367,26.5662,0.261491
8,11.500,0.33695,25.4582,0.254439
8,11.550,0.32839,24.1932,0.247272
8,11.600,0.30699,22.9031,0.239407
8,11.650,0.30179,22.4027,0.236131
8,11.700,0.30407,21.3205,0.230733
12,11.300,0.44929,86.6158,0.271309
12,11.350,0.40801,74.9429,0.248380
12,11.400,0.39561,68.8818,0.237091
12,11.450,0.37568,62.9498,0.225041
12,11.500,0.35985,57.8170,0.214408
12,11.550,0.33231,53.2782,0.204272
12,11.600,0.30720,48.2091,0.192468
12,11.650,0.28715,44.7402,0.184621
12,11.700,0.27597,41.8295,0.177805
16,11.300,0.52547,214.9905,0.290868
16,11.350,0.49716,187.8862,0.268292
16,11.400,0.45524,155.8361,0.239428
16,11.450,0.42237,134.9910,0.219906
16,11.500,0.39067,116.8317,0.202573
16,11.550,0.36096,102.3380,0.187607
16,11.600,0.31946,89.0650,0.172227
16,11.650,0.30229,77.7577,0.160091
16,11.700,0.26142,67.3950,0.147491
24,11.300,0.62778,934.7736,0.353690
24,11.350,0.60586,777.9340,0.318378
24,11.400,0.57445,626.0661,0.280325
24,11.450,0.52763,485.0564,0.240334
24,11.500,0.48112,375.1832,0.206836
24,11.550,0.40761,273.8988,0.171176
24,11.600,0.35374,216.2503,0.149617
24,11.650,0.29251,166.6843,0.128311
24,11.700,0.23867,131.2752,0.112595
