family,kind,estimator,p_c_or_width,error_bar,r2,err_vs_key
stella_bond,threshold,aggregate-extrapolated (w=2),0.1006479,0.000518,0.0022,
stella_bond,threshold,aggregate-naive (all pairs),0.1006196,,,
stella_bond,threshold,aggregate-naive (excl smallest),0.1005334,,,
stella_bond,threshold,per-batch-extrapolated,0.0993182,0.000364,,
stella_bond,threshold,per-batch-naive (5.7's registered),0.0996406,0.000312,,
stella_bond,error_bar_candidate,OLS intercept standard error,0.0005184,,,
stella_bond,error_bar_candidate,w-scan spread over w in [1.6..2.4] (5.8's yardstick),0.0000641,,,
stella_bond,error_bar_candidate,per-batch replica sigma,0.0003636,,,
fcc_bond,threshold,aggregate-extrapolated (w=2),0.1198036,0.000326,0.1527,0.000360
fcc_bond,threshold,aggregate-naive (all pairs),0.1199627,,,0.000201
fcc_bond,threshold,aggregate-naive (excl smallest),0.1198887,,,0.000275
fcc_bond,threshold,per-batch-extrapolated,0.1195750,0.000622,,0.000588
fcc_bond,threshold,per-batch-naive (5.7's registered),0.1197238,0.000471,,0.000440
fcc_bond,error_bar_candidate,OLS intercept standard error,0.0003258,,,
fcc_bond,error_bar_candidate,w-scan spread over w in [1.6..2.4] (5.8's yardstick),0.0000591,,,
fcc_bond,error_bar_candidate,per-batch replica sigma,0.0006221,,,
fcc_bond,threshold,published (Lorenz-Ziff 1998),0.1201635,,,0.000000
fcc_bond,threshold,d_f-anchored inversion,0.1201763,,,0.000013
stella_bond,threshold,d_f-anchored inversion,0.1010686,,,
fcc_bond,error_bar_candidate,actual error of the aggregate-extrapolated fit vs the key,0.0003599,,,
stella_bond,error_bar_candidate,aggregate-vs-per-batch ordering systematic,0.0013297,,,
