family,w,p_c
stella_bond,1.0,0.100800
stella_bond,1.1,0.100773
stella_bond,1.2,0.100750
stella_bond,1.3,0.100730
stella_bond,1.4,0.100714
stella_bond,1.5,0.100699
stella_bond,1.6,0.100686
stella_bond,1.7,0.100675
stella_bond,1.8,0.100665
stella_bond,1.9,0.100656
stella_bond,2.0,0.100648
stella_bond,2.1,0.100641
stella_bond,2.2,0.100634
stella_bond,2.3,0.100628
stella_bond,2.4,0.100622
stella_bond,2.5,0.100617
stella_bond,2.6,0.100612
fcc_bond,1.0,0.119653
fcc_bond,1.1,0.119681
fcc_bond,1.2,0.119705
fcc_bond,1.3,0.119724
fcc_bond,1.4,0.119741
fcc_bond,1.5,0.119755
fcc_bond,1.6,0.119767
fcc_bond,1.7,0.119778
fcc_bond,1.8,0.119788
fcc_bond,1.9,0.119796
fcc_bond,2.0,0.119804
fcc_bond,2.1,0.119810
fcc_bond,2.2,0.119816
fcc_bond,2.3,0.119822
fcc_bond,2.4,0.119826
fcc_bond,2.5,0.119831
fcc_bond,2.6,0.119835
