prediction,quantity,measured,registered,pass
P0a,per-batch naive mean/sigma vs 5.6's committed (3 families),tri 0.500986/0.001348 fcc 0.199457/0.000296 st 0.174453/0.000410,5.6's committed values (±0.000001),true
P0b,d_f at 5.6's two quoted thresholds,2.43793 | 2.52498,2.43782 | 2.52498 (±0.001),true
P0c,d_f (triangular) at the EXACT 1/2,1.89613,1.895833 exact (±0.02),true
P0d,d_f (fcc) at the PUBLISHED threshold,2.50814,2.52295 (±0.05),true
P1a,p_c (stella aggregate-extrapolated),0.174911,0.174911 (±0.00001) and > 0.174453,true
P1b,OLS se (stella) | r2 tri/fcc/stella,0.000514 | 0.2424/0.4050/0.1758,se in [0.0003..0.0008] and all r2 < 0.5,true
P1c,key error in units of (se | w-spread),tri 0.81|5.28  fcc 0.55|2.25,< 1.5 and > 2 on BOTH keys,true
P2a,local d(d_f)/dp | 5.6's secant,113.4 | 116.7,both in [80..150],true
P2b,ordering systematic (stella),0.000542,[0.0003..0.0009] aggregate higher,true
P2c,ordering licence on BOTH site keys,tri 0.000766 vs 0.002530 | fcc 0.000079 vs 0.000388,PER-BATCH closer on both (opposite to 5.9's bond key),true
P2d,propagated band | 5.6's own sigma propagated,0.0623 | 0.0478,band in [0.045..0.09] and 5.6's own > 0.7 x 0.06,true
P3a,d_f at the 5.8 locator,2.49050,2.4905 (±0.01),true
P3b,|d_f − class| vs 5.6's miss,0.0325 vs 0.08513,< 0.5 x 5.6's miss and upward,true
P3c,z at ALL THREE locators (ordering-robust),1.69 | 1.73 | 0.52,all < 2 (H-DISSOLVE branch),true
P4a,d_f-anchored inversion (triangular) vs the EXACT 1/2,-0.0000292,±0.0002,true
P4b,d_f-anchored inversion (fcc) vs the published key,+0.0001490,±0.0003,true
report-only,d_f at the per-batch-extrapolated locator,2.42851,—,
report-only,inversion (stella) vs 5.6's pre-registered constant,0.175197 vs 0.1752,— (not independent),
report-only,naive-vs-extrapolated accuracy on the keys,tri 0.000223 vs 0.002530 | fcc 0.000048 vs 0.000388,— (naive closer on both),
