family,w,p_c
triangular,1.0,0.503731
triangular,1.1,0.503507
triangular,1.2,0.503322
triangular,1.3,0.503167
triangular,1.4,0.503034
triangular,1.5,0.502920
triangular,1.6,0.502821
triangular,1.7,0.502734
triangular,1.8,0.502658
triangular,1.9,0.502590
triangular,2.0,0.502530
triangular,2.1,0.502475
triangular,2.2,0.502426
triangular,2.3,0.502382
triangular,2.4,0.502342
triangular,2.5,0.502305
triangular,2.6,0.502271
fcc_site,1.0,0.198436
fcc_site,1.1,0.198511
fcc_site,1.2,0.198573
fcc_site,1.3,0.198626
fcc_site,1.4,0.198671
fcc_site,1.5,0.198710
fcc_site,1.6,0.198745
fcc_site,1.7,0.198775
fcc_site,1.8,0.198802
fcc_site,1.9,0.198826
fcc_site,2.0,0.198848
fcc_site,2.1,0.198868
fcc_site,2.2,0.198886
fcc_site,2.3,0.198903
fcc_site,2.4,0.198918
fcc_site,2.5,0.198932
fcc_site,2.6,0.198944
stella_site,1.0,0.174806
stella_site,1.1,0.174826
stella_site,1.2,0.174842
stella_site,1.3,0.174856
stella_site,1.4,0.174867
stella_site,1.5,0.174877
stella_site,1.6,0.174886
stella_site,1.7,0.174893
stella_site,1.8,0.174900
stella_site,1.9,0.174906
stella_site,2.0,0.174911
stella_site,2.1,0.174916
stella_site,2.2,0.174920
stella_site,2.3,0.174924
stella_site,2.4,0.174927
stella_site,2.5,0.174930
stella_site,2.6,0.174933
